"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",1
"7",1
"8",0
"9",1
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",2
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",1
"29",1
"30",0
"31",1
"32",1
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",2
"46",1
"47",2
"48",4
"49",0
"50",1
"51",1
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",1
"63",0
"64",1
"65",5
"66",1
"67",3
"68",1
"69",3
"70",0
"71",1
"72",0
"73",5
"74",1
"75",2
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",1
"86",2
"87",2
"88",0
"89",0
"90",0
"91",0
"92",1
"93",3
"94",4
"95",0
"96",1
"97",4
"98",0
"99",2
"100",2
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",2
"110",1
"111",5
"112",3
"113",1
"114",0
"115",1
"116",1
"117",4
"118",4
"119",2
"120",4
"121",4
"122",4
"123",1
"124",1
"125",1
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",2
"134",5
"135",2
"136",3
"137",6
"138",7
"139",4
"140",1
"141",3
"142",1
"143",3
"144",6
"145",6
"146",7
"147",3
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",3
"158",4
"159",1
"160",1
"161",0
"162",3
"163",0
"164",0
"165",4
"166",2
"167",6
"168",6
"169",6
"170",7
"171",3
"172",3
"173",3
"174",5
"175",4
"176",1
"177",1
"178",0
"179",0
"180",0
"181",0
"182",0
"183",0
"184",2
"185",2
"186",4
"187",1
"188",1
"189",3
"190",2
"191",1
"192",1
"193",8
"194",3
"195",4
"196",8
"197",2
"198",5
"199",3
"200",2
"201",0
"202",0
"203",0
"204",0
"205",0
"206",0
"207",0
"208",1
"209",2
"210",1
"211",1
"212",1
"213",1
"214",0
"215",1
"216",0
"217",1
"218",1
"219",0
"220",0
"221",0
"222",0
"223",0
"224",0
