"","x"
"1",1
"2",-4
"3",0
"4",0
"5",1
"6",-1
"7",-2
"8",-1
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",2
"17",2
"18",-3
"19",0
"20",2
"21",-1
"22",-1
"23",0
"24",7
"25",-5
"26",1
"27",3
"28",-6
"29",4
"30",-3
"31",-1
"32",-1
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",1
"40",1
"41",-1
"42",0
"43",0
"44",-2
"45",0
"46",0
"47",-3
"48",5
"49",-1
"50",-1
"51",1
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",2
"61",-1
"62",-1
"63",0
"64",-5
"65",6
"66",-3
"67",2
"68",-1
"69",2
"70",-2
"71",1
"72",-3
"73",5
"74",-2
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",1
"86",-3
"87",4
"88",-2
"89",0
"90",1
"91",2
"92",-5
"93",3
"94",1
"95",-3
"96",-2
"97",4
"98",-3
"99",0
"100",2
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",-2
"109",3
"110",-4
"111",0
"112",2
"113",2
"114",0
"115",-2
"116",-3
"117",1
"118",5
"119",-5
"120",-1
"121",0
"122",3
"123",0
"124",0
"125",1
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",-2
"133",-3
"134",6
"135",-1
"136",-3
"137",5
"138",9
"139",-3
"140",-4
"141",1
"142",7
"143",4
"144",3
"145",6
"146",-3
"147",-13
"148",1
"149",-4
"150",0
"151",-6
"152",0
"153",1
"154",0
"155",-1
"156",-2
"157",1
"158",6
"159",0
"160",5
"161",1
"162",-2
"163",1
"164",-3
"165",9
"166",1
"167",11
"168",5
"169",-1
"170",-2
"171",4
"172",5
"173",-7
"174",-7
"175",-5
"176",-13
"177",-5
"178",-2
"179",0
"180",0
"181",1
"182",2
"183",2
"184",0
"185",4
"186",2
"187",-4
"188",0
"189",-3
"190",8
"191",15
"192",-6
"193",13
"194",-4
"195",14
"196",8
"197",-17
"198",-7
"199",-8
"200",-10
"201",-7
"202",-3
"203",0
"204",2
"205",-2
"206",3
"207",-1
"208",-2
"209",3
"210",5
"211",-5
"212",2
"213",1
"214",0
"215",2
"216",-1
"217",-8
"218",10
"219",2
"220",-8
"221",-3
"222",1
"223",-1
"224",0
"225",0
"226",4
"227",0
"228",1
"229",2
"230",-4
"231",0
"232",0
"233",6
"234",-4
"235",1
"236",-4
"237",0
"238",1
"239",6
"240",-7
"241",-2
"242",3
"243",-2
"244",3
"245",-3
"246",-1
"247",0
"248",0
"249",0
"250",3
"251",-3
"252",1
"253",0
"254",1
"255",1
"256",5
"257",-6
"258",5
"259",-4
"260",3
"261",-8
"262",7
"263",11
"264",-10
"265",4
"266",2
"267",1
"268",-8
"269",-1
"270",-4
"271",0
"272",0
"273",1
"274",2
"275",-2
"276",2
"277",-1
"278",1
"279",5
"280",-4
"281",5
"282",-2
"283",1
"284",2
"285",1
"286",1
"287",16
"288",-4
"289",1
"290",-13
"291",3
"292",6
"293",-17
"294",-3
"295",-1
"296",0
"297",0
"298",0
"299",0
"300",0
"301",0
"302",-3
"303",0
"304",0
"305",-6
"306",-6
"307",9
"308",4
"309",2
"310",-1
"311",-1
"312",-5
"313",-5
"314",0
"315",19
"316",-1
"317",-4
"318",-2
"319",6
"320",-6
"321",-1
"322",0
"323",1
"324",6
"325",-6
"326",1
"327",-4
"328",2
"329",-2
"330",5
"331",-3
"332",-2
"333",-5
"334",4
"335",4
"336",7
"337",-13
"338",18
"339",11
"340",0
"341",-1
"342",-15
"343",-1
"344",-5
"345",-2
"346",2
"347",0
"348",1
"349",-3
"350",1
"351",-2
"352",2
"353",-7
"354",10
"355",-1
"356",0
"357",8
"358",-2
"359",-5
"360",16
"361",-19
"362",7
"363",-7
"364",12
"365",-12
"366",1
"367",0
"368",2
"369",-4
"370",4
"371",-1
"372",-2
"373",2
"374",-4
"375",4
"376",2
"377",0
"378",0
"379",-3
"380",8
"381",-4
"382",-4
"383",7
"384",-8
"385",9
"386",-6
"387",-10
"388",5
"389",3
"390",-2
"391",1
"392",0
"393",2
"394",-4
"395",-1
"396",-1
"397",1
"398",7
"399",-1
"400",-2
"401",-5
"402",5
"403",-6
"404",14
"405",-8
"406",-1
"407",-1
"408",4
"409",-4
"410",2
"411",0
"412",-2
"413",3
"414",-2
"415",1
"416",-1
"417",0
"418",-3
"419",3
"420",0
"421",2
"422",-1
"423",-2
"424",-2
"425",5
"426",-1
"427",-3
"428",0
"429",5
"430",-6
"431",-4
"432",11
"433",-8
"434",0
"435",-2
"436",9
"437",-2
"438",-1
"439",0
"440",0
"441",-1
"442",-1
"443",3
"444",-3
"445",4
"446",-4
"447",-1
"448",2
"449",0
"450",1
"451",-7
"452",1
"453",-2
"454",0
"455",-16
"456",12
"457",-3
"458",15
"459",-5
"460",-9
"461",14
"462",0
"463",2
"464",-1
"465",0
"466",3
"467",-1
"468",-2
"469",1
"470",0
"471",0
"472",2
"473",3
"474",7
"475",-8
"476",-2
"477",-2
"478",-6
"479",6
"480",-1
"481",-3
"482",14
"483",-10
"484",-1
"485",5
"486",0
"487",-5
"488",0
"489",-1
"490",0
"491",0
"492",-2
"493",3
"494",-2
"495",7
"496",-8
"497",3
"498",-2
"499",2
"500",7
"501",3
"502",3
"503",-4
"504",-3
"505",14
"506",0
"507",-16
"508",7
"509",5
"510",0
"511",3
"512",-15
"513",-3
"514",-3
"515",0
"516",-1
"517",5
"518",0
"519",1
"520",2
"521",11
"522",-17
"523",8
"524",-3
"525",4
"526",-2
"527",-3
"528",13
"529",9
"530",16
"531",-11
"532",-6
"533",6
"534",11
"535",-4
"536",-32
"537",-3
"538",-5
"539",0
"540",1
"541",0
"542",3
"543",-4
"544",8
"545",-6
"546",2
"547",11
"548",-8
"549",5
"550",10
"551",-6
"552",18
"553",-1
"554",12
"555",-3
"556",-6
"557",0
"558",-6
"559",-12
"560",-13
"561",-2
"562",-2
"563",2
"564",-4
"565",1
"566",-3
"567",6
"568",7
"569",1
"570",0
"571",6
"572",-9
"573",3
"574",14
"575",-4
"576",9
"577",10
"578",-25
"579",18
"580",-3
"581",-19
"582",-5
"583",3
"584",-7
"585",1
"586",-1
"587",1
"588",0
"589",-4
"590",13
"591",-6
"592",3
"593",-1
"594",-5
"595",5
"596",0
"597",0
"598",-1
"599",-2
"600",0
"601",-2
"602",0
"603",3
"604",-1
"605",-3
"606",3
"607",0
"608",-3
"609",2
"610",-2
"611",1
"612",3
"613",-6
"614",4
"615",2
"616",5
"617",-11
"618",5
"619",7
"620",-1
"621",-2
"622",-3
"623",7
"624",-9
"625",0
"626",2
"627",-4
"628",2
"629",-4
"630",4
"631",-2
"632",2
"633",-2
"634",-4
"635",4
"636",5
"637",-2
"638",7
"639",-8
"640",6
"641",2
"642",-12
"643",3
"644",-1
"645",13
"646",-12
"647",-6
"648",1
"649",4
"650",-2
"651",11
"652",-11
"653",-1
"654",-2
"655",1
"656",3
"657",1
"658",0
"659",2
"660",-4
"661",5
"662",-5
"663",0
"664",2
"665",2
"666",-2
"667",3
"668",-10
"669",3
"670",-2
"671",-4
"672",4
"673",-7
"674",5
"675",7
"676",3
"677",-26
"678",36
"679",-28
"680",18
"681",1
"682",0
"683",-3
"684",2
"685",-4
"686",4
"687",-4
"688",0
"689",-5
"690",2
"691",-1
"692",4
"693",-9
"694",9
"695",7
"696",-8
"697",-6
"698",-18
"699",13
"700",4
"701",16
"702",-18
"703",-10
"704",18
"705",2
"706",3
"707",1
"708",0
"709",-1
"710",-1
"711",4
"712",-8
"713",2
"714",-2
"715",-2
"716",-3
"717",0
"718",-5
"719",-3
"720",-5
"721",-6
"722",-16
"723",10
"724",7
"725",-3
"726",6
"727",11
"728",10
"729",2
"730",1
"731",-1
"732",3
"733",3
"734",1
"735",-6
"736",-5
"737",-1
"738",0
"739",-3
"740",-2
"741",4
"742",-7
"743",-3
"744",-8
"745",-2
"746",14
"747",-12
"748",4
"749",12
"750",6
"751",-4
"752",7
"753",-1
"754",1
"755",0
"756",-2
"757",3
"758",-11
"759",11
"760",-4
"761",2
"762",-1
"763",-3
"764",4
"765",0
"766",8
"767",-5
"768",-3
"769",3
"770",-1
"771",0
"772",-2
"773",-1
"774",4
"775",-4
"776",2
"777",0
"778",1
"779",-2
"780",1
"781",6
"782",1
"783",-5
"784",-2
"785",1
"786",0
"787",1
"788",-3
"789",4
"790",1
"791",29
"792",11
"793",-29
"794",-8
"795",30
"796",-22
"797",-6
"798",-10
"799",1
"800",-3
"801",2
"802",7
"803",-5
"804",1
"805",3
"806",-10
"807",14
"808",-12
"809",-5
"810",11
"811",-1
"812",-2
"813",-11
"814",22
"815",-2
"816",1
"817",1
"818",-9
"819",3
"820",1
"821",-3
"822",2
"823",-2
"824",-2
"825",0
"826",2
"827",-5
"828",4
"829",-1
"830",4
"831",4
"832",-1
"833",-9
"834",8
"835",-7
"836",10
"837",-12
"838",6
"839",-1
"840",15
"841",-18
"842",12
"843",2
"844",-11
"845",1
"846",-13
"847",16
"848",-7
"849",-1
"850",2
"851",2
"852",-4
"853",4
"854",-2
"855",9
"856",-5
"857",-5
"858",5
"859",6
"860",-4
"861",-6
"862",3
"863",-9
"864",-2
"865",22
"866",9
"867",7
"868",-7
"869",-31
"870",10
"871",2
"872",-6
"873",3
"874",-3
"875",2
"876",-3
"877",10
"878",-2
"879",-7
"880",2
"881",4
"882",-5
"883",5
"884",-4
"885",-4
"886",-3
"887",5
"888",-1
"889",0
"890",2
"891",-1
"892",-2
"893",5
"894",-4
"895",1
"896",1
"897",0
"898",1
"899",3
"900",0
"901",-8
"902",8
"903",-1
"904",-3
"905",0
"906",2
"907",0
"908",-8
"909",5
"910",0
"911",7
"912",-6
"913",-6
"914",8
"915",-3
"916",4
"917",0
"918",-3
"919",4
"920",-4
"921",2
"922",-1
"923",-1
"924",2
"925",-1
"926",4
"927",0
"928",-5
"929",-2
"930",2
"931",6
"932",-3
"933",-3
"934",1
"935",-1
"936",3
"937",-2
"938",5
"939",-7
"940",3
"941",5
"942",-5
"943",-3
"944",2
"945",-1
"946",0
"947",4
"948",-1
"949",-7
"950",4
"951",-2
"952",-2
"953",7
"954",-7
"955",3
"956",2
"957",-3
"958",12
"959",-23
"960",-4
"961",10
"962",7
"963",-28
"964",25
"965",8
"966",-1
"967",-2
"968",1
"969",-2
"970",-3
"971",1
"972",3
"973",-3
"974",10
"975",-13
"976",10
"977",-2
"978",-3
"979",-4
"980",10
"981",4
"982",-16
"983",20
"984",-8
"985",-2
"986",-2
"987",-2
"988",5
"989",3
"990",-4
"991",1
"992",-3
"993",0
"994",0
"995",2
"996",-2
"997",-1
"998",5
"999",-10
"1000",4
"1001",15
"1002",-12
"1003",2
"1004",-5
"1005",9
"1006",8
"1007",16
"1008",-23
"1009",43
"1010",-24
"1011",15
"1012",1
"1013",-19
"1014",-13
"1015",-12
"1016",9
"1017",-8
"1018",-4
"1019",2
"1020",1
"1021",2
"1022",-1
"1023",-8
"1024",12
"1025",3
"1026",4
"1027",-21
"1028",10
"1029",6
"1030",0
"1031",33
"1032",-10
"1033",-11
"1034",22
"1035",-30
"1036",-7
"1037",21
"1038",-13
"1039",-10
"1040",4
"1041",-5
"1042",-1
"1043",-2
"1044",4
"1045",-7
"1046",9
"1047",4
"1048",1
"1049",-2
"1050",2
"1051",-7
"1052",5
"1053",-3
"1054",10
"1055",-5
"1056",-7
"1057",1
"1058",-2
"1059",12
"1060",-5
"1061",-10
"1062",6
"1063",-4
"1064",-2
"1065",0
"1066",4
"1067",-2
"1068",0
"1069",1
"1070",4
"1071",-2
"1072",-7
"1073",4
"1074",1
"1075",3
"1076",8
"1077",-12
"1078",-4
"1079",4
"1080",10
"1081",4
"1082",-13
"1083",5
"1084",-17
"1085",8
"1086",6
"1087",-7
"1088",4
"1089",-3
"1090",3
"1091",0
"1092",2
"1093",5
"1094",-4
"1095",-6
"1096",5
"1097",5
"1098",-4
"1099",-3
"1100",-6
"1101",12
"1102",-6
"1103",9
"1104",-3
"1105",3
"1106",-13
"1107",6
"1108",-4
"1109",-2
"1110",0
"1111",7
"1112",-4
"1113",-3
"1114",4
"1115",-5
"1116",4
"1117",2
"1118",1
"1119",4
"1120",-1
"1121",3
"1122",-3
"1123",-3
"1124",4
"1125",-10
"1126",-8
"1127",0
"1128",-7
"1129",12
"1130",7
"1131",-4
"1132",-5
"1133",6
"1134",0
"1135",0
"1136",-2
"1137",6
"1138",-2
"1139",2
"1140",-7
"1141",10
"1142",-8
"1143",10
"1144",-3
"1145",4
"1146",-2
"1147",11
"1148",-7
"1149",-8
"1150",8
"1151",-31
"1152",32
"1153",-20
"1154",22
"1155",-4
"1156",-1
"1157",2
"1158",-3
"1159",-5
"1160",-3
"1161",-2
"1162",-3
"1163",3
"1164",4
"1165",1
"1166",2
"1167",9
"1168",-12
"1169",-10
"1170",12
"1171",-7
"1172",15
"1173",-1
"1174",-21
"1175",-4
"1176",19
"1177",-22
"1178",-6
"1179",-18
"1180",27
"1181",14
"1182",1
"1183",35
"1184",-49
"1185",9
"1186",5
"1187",-1
"1188",2
"1189",0
"1190",2
"1191",0
"1192",-7
"1193",-4
"1194",5
"1195",4
"1196",2
"1197",-3
"1198",3
"1199",-10
"1200",-18
"1201",14
"1202",-31
"1203",50
"1204",-4
"1205",-20
"1206",18
"1207",3
"1208",-2
"1209",0
"1210",-3
"1211",-1
"1212",4
"1213",-4
"1214",-4
"1215",8
"1216",-5
"1217",4
"1218",-1
"1219",-3
"1220",9
"1221",-1
"1222",-10
"1223",6
"1224",-2
"1225",5
"1226",0
"1227",-18
"1228",4
"1229",4
"1230",2
"1231",-2
"1232",5
"1233",0
"1234",-1
"1235",-4
"1236",1
"1237",12
"1238",-13
"1239",5
"1240",7
"1241",2
"1242",-10
"1243",-6
"1244",9
"1245",6
"1246",3
"1247",-11
"1248",-6
"1249",-2
"1250",10
"1251",-7
"1252",5
"1253",3
"1254",-7
"1255",2
"1256",1
"1257",-1
"1258",0
"1259",0
"1260",6
"1261",-7
"1262",-1
"1263",6
"1264",1
"1265",-9
"1266",5
"1267",2
"1268",7
"1269",-16
"1270",2
"1271",-5
"1272",4
"1273",-1
"1274",13
"1275",-2
"1276",1
"1277",-3
"1278",2
"1279",-6
"1280",0
"1281",2
"1282",2
"1283",-1
"1284",1
"1285",7
"1286",-12
"1287",-3
"1288",7
"1289",-4
"1290",4
"1291",-7
"1292",1
"1293",10
"1294",1
"1295",4
"1296",34
"1297",-29
"1298",7
"1299",19
"1300",-27
"1301",-18
"1302",5
"1303",-3
"1304",4
"1305",-4
"1306",1
"1307",1
"1308",4
"1309",-9
"1310",16
"1311",-5
"1312",-13
"1313",11
"1314",-6
"1315",-9
"1316",4
"1317",3
"1318",5
"1319",18
"1320",-32
"1321",17
"1322",-9
"1323",-2
"1324",2
"1325",-11
"1326",1
"1327",14
"1328",1
"1329",1
"1330",1
"1331",-2
"1332",1
"1333",5
"1334",-8
"1335",-3
"1336",2
"1337",6
"1338",-7
"1339",10
"1340",-17
"1341",12
"1342",0
"1343",1
"1344",5
"1345",4
"1346",12
"1347",-9
"1348",10
"1349",-13
"1350",18
"1351",-5
"1352",-15
"1353",-5
"1354",-4
"1355",1
"1356",-1
"1357",-5
"1358",9
"1359",8
"1360",-7
"1361",-4
"1362",-7
"1363",12
"1364",2
"1365",7
"1366",20
"1367",2
"1368",75
"1369",-25
"1370",21
"1371",0
"1372",7
"1373",6
"1374",-19
"1375",23
"1376",-115
"1377",-8
"1378",2
"1379",-2
"1380",-4
"1381",5
"1382",-2
"1383",-4
"1384",6
"1385",-3
"1386",-3
"1387",9
"1388",-9
"1389",10
"1390",-3
"1391",3
"1392",6
"1393",-9
"1394",-3
"1395",8
"1396",4
"1397",-5
"1398",-6
"1399",1
"1400",-1
"1401",-2
"1402",5
"1403",-5
"1404",9
"1405",-11
"1406",9
"1407",-7
"1408",4
"1409",-2
"1410",7
"1411",2
"1412",-2
"1413",-1
"1414",-6
"1415",11
"1416",2
"1417",-12
"1418",-1
"1419",10
"1420",-3
"1421",-6
"1422",0
"1423",-1
"1424",-4
"1425",2
"1426",-2
"1427",2
"1428",7
"1429",-4
"1430",10
"1431",-16
"1432",15
"1433",-1
"1434",11
"1435",-13
"1436",-5
"1437",6
"1438",6
"1439",-2
"1440",5
"1441",-8
"1442",-8
"1443",2
"1444",-5
"1445",8
"1446",-3
"1447",1
"1448",-2
"1449",0
"1450",-7
"1451",5
"1452",5
"1453",-5
"1454",-1
"1455",13
"1456",-2
"1457",5
"1458",-7
"1459",1
"1460",4
"1461",1
"1462",-10
"1463",24
"1464",-45
"1465",28
"1466",-18
"1467",-16
"1468",17
"1469",17
"1470",-6
"1471",-3
"1472",-4
"1473",1
"1474",-1
"1475",3
"1476",2
"1477",9
"1478",-11
"1479",13
"1480",3
"1481",-12
"1482",10
"1483",2
"1484",-12
"1485",15
"1486",34
"1487",15
"1488",-12
"1489",-11
"1490",-22
"1491",19
"1492",-7
"1493",-17
"1494",2
"1495",-22
"1496",5
"1497",-6
"1498",6
"1499",1
"1500",-2
"1501",10
"1502",13
"1503",-9
"1504",26
"1505",-11
"1506",20
"1507",-4
"1508",-16
"1509",-18
"1510",14
"1511",23
"1512",8
"1513",-19
"1514",34
"1515",65
"1516",30
"1517",-62
"1518",-21
"1519",-35
"1520",-26
"1521",-24
"1522",6
"1523",-2
"1524",1
"1525",1
"1526",-2
"1527",2
"1528",11
"1529",7
"1530",-1
"1531",-2
"1532",4
"1533",-10
"1534",-18
"1535",30
"1536",-41
"1537",1
"1538",30
"1539",6
"1540",-22
"1541",-11
"1542",17
"1543",-52
"1544",63
"1545",-20
"1546",1
"1547",1
"1548",5
"1549",-2
"1550",7
"1551",0
"1552",7
"1553",-4
"1554",17
"1555",-11
"1556",-5
"1557",-10
"1558",-5
"1559",3
"1560",-7
"1561",10
"1562",-6
"1563",-2
"1564",-8
"1565",6
"1566",-1
"1567",0
"1568",1
"1569",8
"1570",-5
"1571",4
"1572",-2
"1573",-5
"1574",10
"1575",9
"1576",-3
"1577",-6
"1578",0
"1579",9
"1580",-12
"1581",0
"1582",8
"1583",0
"1584",-15
"1585",10
"1586",8
"1587",-12
"1588",-3
"1589",-5
"1590",3
"1591",0
"1592",2
"1593",2
"1594",-1
"1595",1
"1596",-5
"1597",17
"1598",-6
"1599",-4
"1600",-12
"1601",7
"1602",-3
"1603",25
"1604",-10
"1605",1
"1606",-6
"1607",10
"1608",-17
"1609",4
"1610",8
"1611",-1
"1612",2
"1613",-16
"1614",1
"1615",-1
"1616",4
"1617",-2
"1618",0
"1619",5
"1620",23
"1621",8
"1622",-7
"1623",-15
"1624",-11
"1625",-2
"1626",16
"1627",-9
"1628",1
"1629",-2
"1630",27
"1631",-8
"1632",-18
"1633",-8
"1634",0
"1635",3
"1636",7
"1637",-11
"1638",6
"1639",-1
"1640",-2
"1641",-1
"1642",3
"1643",1
"1644",8
"1645",-2
"1646",6
"1647",-29
"1648",2
"1649",13
"1650",14
"1651",-7
"1652",16
"1653",-7
"1654",-37
"1655",-28
"1656",47
"1657",-25
"1658",24
"1659",6
"1660",-9
"1661",7
"1662",6
"1663",6
"1664",-17
"1665",2
"1666",5
"1667",-4
"1668",22
"1669",-31
"1670",12
"1671",-4
"1672",-20
"1673",7
"1674",-10
"1675",5
"1676",16
"1677",6
"1678",16
"1679",15
"1680",18
"1681",14
"1682",-37
"1683",-8
"1684",-69
"1685",18
"1686",33
"1687",31
"1688",-35
"1689",3
"1690",-9
"1691",5
"1692",11
"1693",-3
"1694",-7
"1695",-10
"1696",3
"1697",1
"1698",11
"1699",-14
"1700",9
"1701",36
"1702",26
"1703",-46
"1704",1
"1705",3
"1706",-26
"1707",-27
"1708",56
"1709",14
"1710",-30
"1711",9
"1712",-22
"1713",8
"1714",1
"1715",3
"1716",-6
"1717",1
"1718",10
"1719",9
"1720",-12
"1721",1
"1722",-15
"1723",4
"1724",9
"1725",7
"1726",14
"1727",-15
"1728",14
"1729",-19
"1730",6
"1731",-1
"1732",7
"1733",-10
"1734",2
"1735",0
"1736",-6
"1737",-8
"1738",6
"1739",7
"1740",-8
"1741",12
"1742",-16
"1743",2
"1744",7
"1745",-1
"1746",-14
"1747",-8
"1748",29
"1749",-14
"1750",3
"1751",16
"1752",31
"1753",-9
"1754",-24
"1755",-6
"1756",7
"1757",9
"1758",-11
"1759",3
"1760",-11
"1761",-8
"1762",4
"1763",-3
"1764",16
"1765",-2
"1766",-7
"1767",18
"1768",-10
"1769",16
"1770",-6
"1771",-23
"1772",1
"1773",19
"1774",12
"1775",2
"1776",-4
"1777",-1
"1778",1
"1779",4
"1780",-11
"1781",-25
"1782",-5
"1783",7
"1784",-4
"1785",3
"1786",2
"1787",4
"1788",-24
"1789",5
"1790",13
"1791",2
"1792",2
"1793",-8
"1794",-6
"1795",12
"1796",-3
"1797",13
"1798",-4
"1799",-90
"1800",20
"1801",32
"1802",17
"1803",33
"1804",-3
"1805",-6
"1806",-1
"1807",-6
"1808",-5
"1809",0
"1810",3
"1811",-5
"1812",8
"1813",1
"1814",-9
"1815",8
"1816",16
"1817",-25
"1818",-7
"1819",19
"1820",-18
"1821",14
"1822",25
"1823",55
"1824",-41
"1825",17
"1826",24
"1827",29
"1828",60
"1829",-26
"1830",-4
"1831",-57
"1832",-82
"1833",2
"1834",-14
"1835",9
"1836",0
"1837",27
"1838",-35
"1839",22
"1840",11
"1841",-22
"1842",8
"1843",-10
"1844",20
"1845",7
"1846",-11
"1847",-7
"1848",-16
"1849",55
"1850",-4
"1851",20
"1852",87
"1853",8
"1854",-38
"1855",-58
"1856",-48
"1857",-9
"1858",-8
"1859",-2
"1860",-2
"1861",0
"1862",17
"1863",12
"1864",15
"1865",-7
"1866",9
"1867",39
"1868",-20
"1869",-11
"1870",-2
"1871",108
"1872",-28
"1873",8
"1874",2
"1875",-26
"1876",-55
"1877",46
"1878",-5
"1879",-15
"1880",-23
"1881",-50
"1882",-4
"1883",-4
"1884",4
"1885",7
"1886",-9
"1887",1
"1888",23
"1889",5
"1890",3
"1891",-13
"1892",3
"1893",-12
"1894",-1
"1895",4
"1896",-13
"1897",6
"1898",11
"1899",10
"1900",-17
"1901",-6
"1902",-13
"1903",-1
"1904",1
"1905",6
"1906",1
"1907",-13
"1908",10
"1909",11
"1910",5
"1911",0
"1912",-11
"1913",-3
"1914",14
"1915",6
"1916",-13
"1917",18
"1918",-1
"1919",-11
"1920",-40
"1921",4
"1922",22
"1923",-2
"1924",-4
"1925",-11
"1926",5
"1927",-7
"1928",9
"1929",10
"1930",2
"1931",-1
"1932",-12
"1933",0
"1934",3
"1935",12
"1936",-11
"1937",-12
"1938",0
"1939",13
"1940",12
"1941",-21
"1942",0
"1943",1
"1944",5
"1945",-3
"1946",-3
"1947",1
"1948",2
"1949",23
"1950",-4
"1951",-10
"1952",4
"1953",-2
"1954",-4
"1955",3
"1956",-4
"1957",4
"1958",-34
"1959",29
"1960",14
"1961",0
"1962",14
"1963",-5
"1964",7
"1965",-7
"1966",-12
"1967",88
"1968",8
"1969",-37
"1970",-23
"1971",-42
"1972",3
"1973",5
"1974",-15
"1975",7
"1976",0
"1977",7
"1978",-7
"1979",11
"1980",-5
"1981",12
"1982",-3
"1983",-4
"1984",17
"1985",22
"1986",-22
"1987",-13
"1988",34
"1989",-17
"1990",-8
"1991",-37
"1992",19
"1993",21
"1994",-20
"1995",-20
"1996",-3
"1997",38
"1998",-41
"1999",22
"2000",-3
"2001",5
"2002",2
"2003",-4
"2004",-7
"2005",13
"2006",0
"2007",19
"2008",17
"2009",17
"2010",-8
