"","x"
"1",0.0544966360736667
"2",-0.277016842929589
"3",0
"4",0
"5",-0.839490491264795
"6",-0.072439974672595
"7",0.624458181860256
"8",-1
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",1.17283494923188
"17",0.202706868907865
"18",-0.375541818139744
"19",0
"20",0.287472284077134
"21",-0.114637334845255
"22",-0.172834949231879
"23",0
"24",0.613283518444253
"25",-0.325811234367118
"26",0.0880695340626096
"27",-0.762258299695491
"28",-0.440448569212374
"29",1.27514684358046
"30",-1.1605095087352
"31",-0.114637334845255
"32",-0.172834949231879
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",1
"40",0.172834949231879
"41",-0.172834949231879
"42",0
"43",0
"44",-1.17283494923188
"45",-0.827165050768121
"46",0.827165050768121
"47",-1.20270686890787
"48",2.37554181813974
"49",-1
"50",-1
"51",1
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",1.17283494923188
"61",-1
"62",-0.172834949231879
"63",0
"64",-1.44798179281234
"65",1.62081674204422
"66",-0.460307233309013
"67",0.287472284077134
"68",-0.114637334845255
"69",1.11463733484526
"70",-2
"71",1
"72",-0.27514684358046
"73",0.562619127657594
"74",-0.287472284077134
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0.114637334845255
"86",-1.28747228407713
"87",2.34566989846376
"88",-1.17283494923188
"89",0
"90",1
"91",-0.624458181860256
"92",-0.663014102216878
"93",0.359912258749729
"94",1.10039497455928
"95",-2.17283494923188
"96",0.624458181860256
"97",1.37554181813974
"98",-2.17283494923188
"99",0
"100",1.17283494923188
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",-1.17283494923188
"109",1.34566989846376
"110",-0.447981792812339
"111",-1.01232544049667
"112",0.287472284077134
"113",2
"114",-0.827165050768121
"115",-1.17283494923188
"116",-0.375541818139744
"117",1
"118",0.578248687047609
"119",-0.578248687047609
"120",-1
"121",0
"122",0.375541818139744
"123",0
"124",0
"125",1
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",-1.17283494923188
"133",-0.27514684358046
"134",1.56261912765759
"135",-0.114637334845255
"136",-0.222520206855922
"137",0.315615962115992
"138",0.395598852694392
"139",0.168890274312331
"140",-0.380568039337204
"141",0.232975648003467
"142",0.0667716510840148
"143",-0.0508530035399857
"144",0.0607476429058926
"145",0.0679910357459883
"146",0.154529171109934
"147",0.848405894027892
"148",0.0406587701949515
"149",-0.188251161528688
"150",0
"151",-1.50999249093306
"152",0
"153",1
"154",0
"155",-1
"156",-0.287472284077134
"157",0.199402750014525
"158",0.598062024995666
"159",0
"160",1.18825116152869
"161",-1.15082841069212
"162",1.11016964049717
"163",0.0406587701949515
"164",-1.33790299988938
"165",0.410897879436662
"166",-0.224405739173327
"167",0.193473321046024
"168",0.0721433029962095
"169",-0.0544966360736667
"170",0.189475504575776
"171",0.0595906312793595
"172",0.0678756331900305
"173",-0.228385141925235
"174",-0.0525917635723829
"175",0.220318745409375
"176",-0.400952871316935
"177",0.559551430787626
"178",-1.17283494923188
"179",0
"180",0
"181",1
"182",0.287472284077134
"183",-0.89581810630229
"184",0
"185",0.0366812110232873
"186",0.342636577645858
"187",-0.157688447999737
"188",-0.202512150059643
"189",-0.0736138266834323
"190",0.466719665236698
"191",0.348143011284813
"192",-0.595844274175384
"193",0.450842972612096
"194",-0.132262129984366
"195",-0.0067317721871194
"196",0.462080761587218
"197",-0.442082407535965
"198",0.0274977146263475
"199",-0.052452402987252
"200",0.835174972283481
"201",-0.41077136838461
"202",-1.28747228407713
"203",0
"204",1.17283494923188
"205",-1.17283494923188
"206",1.28747228407713
"207",-1
"208",-0.287472284077134
"209",0.375541818139744
"210",0.282043064127049
"211",-0.282043064127049
"212",0.134450672793313
"213",1
"214",-0.945503363926333
"215",1.04879439143753
"216",-1
"217",-1.61328351844425
"218",2.65758488226679
"219",0.0782975884453141
"220",-0.448410186634973
"221",-1.28747228407713
"222",1
"223",-1
"224",0
"225",0
"226",1.37554181813974
"227",0
"228",-0.983887640364899
"229",0.0930957552600695
"230",0.80272235104222
"231",-0.91193046593739
"232",0.91193046593739
"233",-0.724424762596906
"234",-0.0530550305471715
"235",0.0544966360736667
"236",-0.361782258098858
"237",0.0847654151692692
"238",1
"239",0.370112598189659
"240",-1.45487801335893
"241",-0.202706868907865
"242",0.27514684358046
"243",0.72485315641954
"244",0.375541818139744
"245",-0.375541818139744
"246",-1
"247",0
"248",0
"249",0
"250",1.28747228407713
"251",-1.28747228407713
"252",0.172834949231879
"253",-0.0847654151692692
"254",1.08476541516927
"255",-0.897688105651419
"256",1.33813667486379
"257",-0.440448569212374
"258",-0.559551430787626
"259",-0.424336209577273
"260",0.375541818139744
"261",-0.724998635741928
"262",0.552163686510049
"263",1.50046111567635
"264",-1.32762616644447
"265",0.171393343705384
"266",1.03508949573188
"267",0.0329052404938859
"268",-0.355895414125537
"269",-0.072439974672595
"270",-1.37554181813974
"271",0
