"","day","wday","hour","count"
"1",16956,7,0,0
"2",16956,7,1,0
"3",16956,7,2,0
"4",16956,7,3,0
"5",16956,7,4,0
"6",16956,7,5,1
"7",16956,7,6,1
"8",16956,7,7,0
"9",16956,7,8,1
"10",16956,7,9,0
"11",16956,7,10,0
"12",16956,7,11,0
"13",16956,7,12,0
"14",16956,7,13,0
"15",16956,7,14,0
"16",16956,7,15,2
"17",16956,7,16,0
"18",16956,7,17,0
"19",16956,7,18,0
"20",16956,7,19,0
"21",16956,7,20,0
"22",16956,7,21,0
"23",16956,7,22,0
"24",16956,7,23,0
"25",16957,1,0,0
"26",16957,1,1,0
"27",16957,1,2,0
"28",16957,1,3,1
"29",16957,1,4,1
"30",16957,1,5,0
"31",16957,1,6,1
"32",16957,1,7,1
"33",16957,1,8,0
"34",16957,1,9,0
"35",16957,1,10,0
"36",16957,1,11,0
"37",16957,1,12,0
"38",16957,1,13,0
"39",16957,1,14,0
"40",16957,1,15,0
"41",16957,1,16,0
"42",16957,1,17,0
"43",16957,1,18,0
"44",16957,1,19,0
"45",16957,1,20,2
"46",16957,1,21,1
"47",16957,1,22,2
"48",16957,1,23,4
"49",16958,2,0,0
"50",16958,2,1,1
"51",16958,2,2,1
"52",16958,2,3,0
"53",16958,2,4,0
"54",16958,2,5,0
"55",16958,2,6,0
"56",16958,2,7,0
"57",16958,2,8,0
"58",16958,2,9,0
"59",16958,2,10,0
"60",16958,2,11,0
"61",16958,2,12,0
"62",16958,2,13,1
"63",16958,2,14,0
"64",16958,2,15,1
"65",16958,2,16,5
"66",16958,2,17,1
"67",16958,2,18,3
"68",16958,2,19,1
"69",16958,2,20,3
"70",16958,2,21,0
"71",16958,2,22,1
"72",16958,2,23,0
"73",16959,3,0,5
"74",16959,3,1,1
"75",16959,3,2,2
"76",16959,3,3,0
"77",16959,3,4,0
"78",16959,3,5,0
"79",16959,3,6,0
"80",16959,3,7,0
"81",16959,3,8,0
"82",16959,3,9,0
"83",16959,3,10,0
"84",16959,3,11,0
"85",16959,3,12,1
"86",16959,3,13,2
"87",16959,3,14,2
"88",16959,3,15,0
"89",16959,3,16,0
"90",16959,3,17,0
"91",16959,3,18,0
"92",16959,3,19,1
"93",16959,3,20,3
"94",16959,3,21,4
"95",16959,3,22,0
"96",16959,3,23,1
"97",16960,4,0,4
"98",16960,4,1,0
"99",16960,4,2,2
"100",16960,4,3,2
"101",16960,4,4,0
"102",16960,4,5,0
"103",16960,4,6,0
"104",16960,4,7,0
"105",16960,4,8,0
"106",16960,4,9,0
"107",16960,4,10,0
"108",16960,4,11,0
"109",16960,4,12,2
"110",16960,4,13,1
"111",16960,4,14,5
"112",16960,4,15,3
"113",16960,4,16,1
"114",16960,4,17,0
"115",16960,4,18,1
"116",16960,4,19,1
"117",16960,4,20,4
